longitude,latitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
106.3934,-2.7978,308.9,1.2,1.1,2023-01-10,0629,Aqua,MODIS,54,61.03,284.1,7.1,D,0
106.2399,-2.8695,315.4,1.2,1.1,2023-01-10,0629,Aqua,MODIS,71,61.03,288.2,11.4,D,0
106.5287,-2.7361,308.5,1.2,1.1,2023-01-10,0629,Aqua,MODIS,33,61.03,285.8,6.2,D,0
105.9818,-2.7127,322.1,1.3,1.1,2023-01-10,0629,Aqua,MODIS,72,61.03,276.6,22.7,D,0
106.4522,-2.8622,314.5,1.2,1.1,2023-01-10,0629,Aqua,MODIS,70,61.03,286.1,10.2,D,0
105.9552,-2.6861,312.3,1.3,1.1,2023-01-10,0629,Aqua,MODIS,67,61.03,281.6,10.8,D,0
106.2081,-2.5387,317.9,1.2,1.1,2023-01-10,0629,Aqua,MODIS,71,61.03,284.3,15.6,D,0
106.1973,-2.5402,318.1,1.2,1.1,2023-01-10,0629,Aqua,MODIS,75,61.03,286,15.9,D,0
106.5479,-3.0634,321.3,2,1.4,2023-01-12,0616,Aqua,MODIS,75,61.03,282.5,42.1,D,0
106.5656,-3.0609,326.9,2,1.4,2023-01-12,0616,Aqua,MODIS,73,61.03,284.8,58.3,D,0
106.5602,-3.0585,330,2,1.4,2023-01-12,0616,Aqua,MODIS,83,61.03,285.9,66.4,D,0
105.8822,-1.7842,310.2,2.4,1.5,2023-02-18,0615,Aqua,MODIS,30,61.03,290.3,18.6,D,0
106.1698,-2.4304,314.4,1.2,1.1,2023-02-19,0313,Terra,MODIS,61,61.03,293.9,10.3,D,0
105.2118,-1.9361,318,1,1,2023-03-07,0648,Aqua,MODIS,49,61.03,297,7.5,D,0
106.4639,-2.7645,313.3,1.1,1,2023-03-10,0307,Terra,MODIS,63,61.03,294.1,6.8,D,0
106.4502,-2.729,332.6,1.1,1,2023-03-16,0635,Aqua,MODIS,86,61.03,289.5,30.5,D,0
106.218,-2.4319,324,1.1,1,2023-03-16,0635,Aqua,MODIS,75,61.03,288.3,20.7,D,0
106.6202,-2.627,319.3,1.7,1.3,2023-03-18,0622,Aqua,MODIS,74,61.03,292.1,21.8,D,0
106.1788,-2.46,314.5,1.8,1.3,2023-03-18,0622,Aqua,MODIS,70,61.03,291.2,16.9,D,0
106.6283,-2.6374,315.8,1.7,1.3,2023-03-18,0622,Aqua,MODIS,25,61.03,293.1,13.4,D,0
106.3372,-2.5068,304.5,2,1.4,2023-03-20,0325,Terra,MODIS,38,61.03,277.4,10.2,D,0
105.3995,-1.6503,315.3,1,1,2023-03-22,0308,Terra,MODIS,63,61.03,296.7,5.6,D,0
105.5797,-1.655,353.4,1.1,1,2023-03-23,0637,Aqua,MODIS,97,61.03,294.6,71.3,D,0
105.5784,-1.6456,328.4,1.1,1,2023-03-23,0637,Aqua,MODIS,81,61.03,295.2,20.9,D,0
105.5686,-1.647,330.9,1.1,1,2023-03-23,0637,Aqua,MODIS,83,61.03,295.7,25.2,D,0
105.8625,-2.3254,317.7,1.1,1.1,2023-04-11,0652,Aqua,MODIS,64,61.03,297.8,8.3,D,0
105.6318,-1.8596,317,1.1,1,2023-04-11,0653,Aqua,MODIS,64,61.03,295.2,8.2,D,0
105.419,-1.7993,315.6,1.1,1,2023-04-11,0653,Aqua,MODIS,61,61.03,297.6,7.8,D,0
105.8802,-1.6971,313.8,1.1,1.1,2023-04-11,0653,Aqua,MODIS,59,61.03,295.5,5.3,D,0
106.1311,-2.6557,316.8,1,1,2023-04-13,0639,Aqua,MODIS,52,61.03,285.2,13.6,D,0
105.6662,-1.9868,314.8,1.8,1.3,2023-04-15,0625,Aqua,MODIS,72,61.03,293.5,15.5,D,0
106.3545,-2.9268,315.8,1.2,1.1,2023-04-18,0653,Aqua,MODIS,65,61.03,298,8.2,D,0
105.8675,-2.0057,312.2,3.2,1.7,2023-04-24,0611,Aqua,MODIS,40,61.03,276.9,49.4,D,0
106.86,-2.9395,309.4,1,1,2023-04-27,0639,Aqua,MODIS,61,61.03,289.4,5,D,0
106.3751,-2.6226,311.9,1,1,2023-04-27,0639,Aqua,MODIS,47,61.03,289.9,5.7,D,0
106.2671,-2.7488,312,1.6,1.3,2023-05-02,0318,Terra,MODIS,60,61.03,294.6,9.2,D,0
106.2425,-2.8615,345.9,1.2,1.1,2023-05-02,0653,Aqua,MODIS,93,61.03,299.2,56,D,0
106.0266,-2.2822,324.1,1.1,1.1,2023-05-02,0653,Aqua,MODIS,77,61.03,298.5,15.7,D,0
106.2527,-2.86,315.7,1.2,1.1,2023-05-02,0653,Aqua,MODIS,64,61.03,298.1,6.6,D,0
106.1628,-2.79,316.5,1.1,1.1,2023-05-02,0653,Aqua,MODIS,66,61.03,296.2,7,D,0
105.8409,-2.1577,332,1.1,1,2023-05-04,0639,Aqua,MODIS,84,61.03,295.9,26.8,D,0
106.5063,-2.9087,322.9,1,1,2023-05-11,0639,Aqua,MODIS,77,61.03,296.7,13.9,D,0
106.4971,-2.91,323.8,1,1,2023-05-11,0639,Aqua,MODIS,78,61.03,296.4,14.9,D,0
106.2171,-2.3976,316.7,1,1,2023-05-11,0639,Aqua,MODIS,65,61.03,297.9,6.5,D,0
106.2078,-2.3989,323.8,1,1,2023-05-11,0639,Aqua,MODIS,76,61.03,297.4,14,D,0
105.9612,-2.3227,332,1.1,1,2023-05-11,0639,Aqua,MODIS,84,61.03,297.2,25.6,D,0
